000000000000000000000000;[000000000000000000000000];000000000000000000000131;000000000000000000000571;buys;1691721326775
000000000000000000000001;[000000000000000000000000];000000000000000000000131;000000000000000000000571;owns;1691807726775
000000000000000000000002;[000000000000000000000000];000000000000000000000131;000000000000000000000571;sells;1691894126775
000000000000000000000001;[000000000000000000000000];000000000000000000000131;000000000000000000000571;owns;1691807726775|1691894126775
000000000000000000000003;[000000000000000000000000];000000000000000000000436;000000000000000000000571;buys;1691894126775
000000000000000000000004;[000000000000000000000000];000000000000000000000131;000000000000000000000436;transfers_ownership;car72|1691980526775
000000000000000000000005;[000000000000000000000000];000000000000000000000436;000000000000000000000571;owns;1691980526775
000000000000000000000006;[000000000000000000000000];000000000000000000000052;000000000000000000000884;buys;1691980526775
000000000000000000000007;[000000000000000000000000];000000000000000000000052;000000000000000000000884;owns;1692066926775
000000000000000000000008;[000000000000000000000000];000000000000000000000052;000000000000000000000884;sells;1692153326775
000000000000000000000007;[000000000000000000000000];000000000000000000000052;000000000000000000000884;owns;1692066926775|1692153326775
000000000000000000000009;[000000000000000000000000];000000000000000000000441;000000000000000000000884;buys;1692153326775
000000000000000000000010;[000000000000000000000000];000000000000000000000052;000000000000000000000441;transfers_ownership;car385|1692239726775
000000000000000000000011;[000000000000000000000000];000000000000000000000441;000000000000000000000884;owns;1692239726775
000000000000000000000012;[000000000000000000000000];000000000000000000000249;000000000000000000000818;buys;1692239726775
000000000000000000000013;[000000000000000000000000];000000000000000000000249;000000000000000000000818;owns;1692326126775
000000000000000000000014;[000000000000000000000000];000000000000000000000249;000000000000000000000818;sells;1692412526775
000000000000000000000013;[000000000000000000000000];000000000000000000000249;000000000000000000000818;owns;1692326126775|1692412526775
000000000000000000000015;[000000000000000000000000];000000000000000000000265;000000000000000000000818;buys;1692412526775
000000000000000000000016;[000000000000000000000000];000000000000000000000249;000000000000000000000265;transfers_ownership;car319|1692498926775
000000000000000000000017;[000000000000000000000000];000000000000000000000265;000000000000000000000818;owns;1692498926775
000000000000000000000018;[000000000000000000000000];000000000000000000000040;000000000000000000000708;buys;1692498926775
000000000000000000000019;[000000000000000000000000];000000000000000000000040;000000000000000000000708;owns;1692585326775
000000000000000000000020;[000000000000000000000000];000000000000000000000040;000000000000000000000708;sells;1692671726775
000000000000000000000019;[000000000000000000000000];000000000000000000000040;000000000000000000000708;owns;1692585326775|1692671726775
000000000000000000000021;[000000000000000000000000];000000000000000000000361;000000000000000000000708;buys;1692671726775
000000000000000000000022;[000000000000000000000000];000000000000000000000040;000000000000000000000361;transfers_ownership;car209|1692758126775
000000000000000000000023;[000000000000000000000000];000000000000000000000361;000000000000000000000708;owns;1692758126775
000000000000000000000024;[000000000000000000000000];000000000000000000000054;000000000000000000000606;buys;1692758126775
000000000000000000000025;[000000000000000000000000];000000000000000000000054;000000000000000000000606;owns;1692844526775
000000000000000000000026;[000000000000000000000000];000000000000000000000017;000000000000000000000511;buys;1692930926775
000000000000000000000027;[000000000000000000000000];000000000000000000000017;000000000000000000000511;owns;1693017326775
000000000000000000000028;[000000000000000000000000];000000000000000000000017;000000000000000000000511;sells;1693103726775
000000000000000000000027;[000000000000000000000000];000000000000000000000017;000000000000000000000511;owns;1693017326775|1693103726775
000000000000000000000029;[000000000000000000000000];000000000000000000000426;000000000000000000000511;buys;1693103726775
000000000000000000000030;[000000000000000000000000];000000000000000000000017;000000000000000000000426;transfers_ownership;car12|1693190126775
000000000000000000000031;[000000000000000000000000];000000000000000000000426;000000000000000000000511;owns;1693190126775
000000000000000000000032;[000000000000000000000000];000000000000000000000342;000000000000000000000986;buys;1693190126775
000000000000000000000033;[000000000000000000000000];000000000000000000000342;000000000000000000000986;owns;1693276526775
000000000000000000000034;[000000000000000000000000];000000000000000000000342;000000000000000000000986;sells;1693362926775
000000000000000000000033;[000000000000000000000000];000000000000000000000342;000000000000000000000986;owns;1693276526775|1693362926775
000000000000000000000035;[000000000000000000000000];000000000000000000000440;000000000000000000000986;buys;1693362926775
000000000000000000000036;[000000000000000000000000];000000000000000000000342;000000000000000000000440;transfers_ownership;car487|1693449326775
000000000000000000000037;[000000000000000000000000];000000000000000000000440;000000000000000000000986;owns;1693449326775
000000000000000000000038;[000000000000000000000000];000000000000000000000414;000000000000000000000921;buys;1693449326775
000000000000000000000039;[000000000000000000000000];000000000000000000000414;000000000000000000000921;owns;1693535726775
000000000000000000000040;[000000000000000000000000];000000000000000000000414;000000000000000000000921;sells;1693622126775
000000000000000000000039;[000000000000000000000000];000000000000000000000414;000000000000000000000921;owns;1693535726775|1693622126775
000000000000000000000041;[000000000000000000000000];000000000000000000000464;000000000000000000000921;buys;1693622126775
000000000000000000000042;[000000000000000000000000];000000000000000000000414;000000000000000000000464;transfers_ownership;car422|1693708526775
000000000000000000000043;[000000000000000000000000];000000000000000000000464;000000000000000000000921;owns;1693708526775
000000000000000000000044;[000000000000000000000000];000000000000000000000215;000000000000000000000877;buys;1693708526775
000000000000000000000045;[000000000000000000000000];000000000000000000000215;000000000000000000000877;owns;1693794926775
000000000000000000000046;[000000000000000000000000];000000000000000000000215;000000000000000000000877;sells;1693881326775
000000000000000000000045;[000000000000000000000000];000000000000000000000215;000000000000000000000877;owns;1693794926775|1693881326775
